EEG Sample Number,EEG Sample Time (s),EEG Signal,Trigger
45219,55.23017009999603,5,
45220,55.23131000000285,5,
45221,55.232832800014876,5,
45222,55.23442600003909,5,
45223,55.23516090004705,5,
45224,55.23632600001292,6,
45225,55.2376184000168,96,
45226,55.23875750001753,1010,
45227,55.24011300003622,1011,
45228,55.24156100000255,1011,
45229,55.24380110000493,1011,
45230,55.24528970004758,1011,
45231,55.246503600035794,1011,
45232,55.247851499996614,1010,
45233,55.249105099996086,763,
45234,55.25069810001878,6,
45235,55.25212410005042,5,
45236,55.25311030005105,5,
45237,55.25431099999696,5,
45238,55.255280500045046,5,
45239,55.256529100006446,5,
45240,55.258010899997316,6,
45241,55.25967719999608,62,
45242,55.2616947000497,948,
45243,55.26311860000715,1011,
45244,55.26492020004662,1011,
45245,55.26673920004396,1011,
45246,55.26834970002528,1011,
45247,55.269623400003184,1011,
45248,55.27086730004521,1010,
45249,55.272007999999914,813,
45250,55.27305300004082,6,
45251,55.27436870004749,5,
45252,55.27539630001411,5,
45253,55.27683050004998,5,
45254,55.2777021000511,5,
45255,55.27851900004316,6,
45256,55.280300400045235,5,
45257,55.281709100003354,14,
45258,55.28315150004346,767,
45259,55.28489060001448,1011,
45260,55.28652280004462,1011,
45261,55.28791840001941,1011,
45262,55.289137200044934,1012,
45263,55.29051510000136,1011,
45264,55.29147500003455,1010,
45265,55.29248040000675,945,
45266,55.29401820001658,6,
45267,55.295186000003014,5,
45268,55.296176000032574,5,
45269,55.297621400037315,5,
45270,55.29860420001205,5,
45271,55.299532900040504,6,
45272,55.299933000002056,6,
45273,55.30049960000906,18,
45274,55.30102060001809,787,
45275,55.301593200012576,1011,
45276,55.30209770001238,1011,
45277,55.30335699999705,1011,
45278,55.30382250004914,1011,
45279,55.30506850004895,1011,
45280,55.30663170001935,1011,
45281,55.307846800016705,982,
45282,55.30877100001089,57,
45283,55.309728000022005,6,
45284,55.310694400046486,5,
45285,55.31117420003284,5,
45286,55.31225440005073,5,
45287,55.31326780002564,5,
45288,55.31414480000967,6,
45289,55.315089700045064,6,
45290,55.316025500011165,604,
45291,55.31658870005049,1011,
45292,55.318979100033175,1011,
45293,55.319982600049116,1011,
45294,55.320944000035524,1011,
45295,55.32382750004763,1011,
45296,55.32481210003607,1011,Trigger
45297,55.325988100026734,985,
45298,55.32670320000034,88,
45299,55.32714660000056,5,
45300,55.32829480001237,5,
45301,55.328991000016686,5,
45302,55.330610000004526,5,
45303,55.3317226000363,5,
45304,55.332213400048204,6,
45305,55.334745900006965,6,
45306,55.33540810004342,521,
45307,55.3363287000102,1011,
45308,55.3390355000156,1011,
45309,55.34032090002438,1011,
45310,55.341353600029834,1011,
45311,55.343460400006734,1011,
45312,55.34463470004266,1011,
45313,55.346015300019644,993,
45314,55.347160000004806,169,
45315,55.34817720000865,6,
45316,55.349194500013255,5,
45317,55.34979370003566,5,
45318,55.351402100000996,5,
45319,55.352408300037496,5,
45320,55.35346120002214,6,
45321,55.35514719999628,6,
45322,55.35632419999456,464,
45323,55.357394300051965,1011,
45324,55.35929460002808,1011,
45325,55.360654600022826,1011,
45326,55.36169879999943,1011,
45327,55.362835000036284,1011,
45328,55.36400070000673,1010,
45329,55.36514619999798,1010,
45330,55.36630640004296,337,
45331,55.36777750001056,6,
45332,55.36902139999438,5,
45333,55.37002289999509,5,
45334,55.3715548000182,5,
45335,55.37279940000735,5,
45336,55.37418810004601,5,
45337,55.375513900013175,6,
45338,55.37637660000473,387,
45339,55.37752920005005,1010,
45340,55.37865750002675,1011,
45341,55.38000150001608,1011,
45342,55.381095200020354,1011,
45343,55.38217670004815,1011,
45344,55.384177100029774,1011,
45345,55.38528210000368,1010,
45346,55.38645859999815,353,
45347,55.3882292000344,5,
45348,55.390070700028446,5,
45349,55.39156980003463,5,
45350,55.39266990002943,5,
45351,55.39381940005114,5,
45352,55.39496380003402,5,
45353,55.396027000038885,6,
45354,55.39754920004634,425,
45355,55.39851580001414,1011,
45356,55.39975470001809,1011,
45357,55.40078040002845,1011,
45358,55.402134700038005,1011,
45359,55.403116500005126,1011,
45360,55.404448900022544,1010,
45361,55.40613650000887,1010,
45362,55.4073972000042,297,
45363,55.408368700009305,6,
45364,55.40914640005212,5,
45365,55.41010780003853,5,
45366,55.411005900008604,5,
45367,55.41289610002423,5,
45368,55.41380930005107,5,
45369,55.414919700007886,6,
45370,55.4165983000421,418,
45371,55.41762900003232,1010,
45372,55.41879880003398,1011,
45373,55.41985050000949,1011,
45374,55.42085220001172,1011,
45375,55.42231560003711,1011,
45376,55.42332360002911,1010,
45377,55.42520650004735,1010,
45378,55.42633540002862,348,
45379,55.42740030004643,5,
45380,55.42882600001758,4,
45381,55.42967420001514,5,
45382,55.43080050003482,5,
45383,55.431302800017875,5,
45384,55.43333359999815,5,
45385,55.4342680000118,6,
45386,55.435218500031624,385,
45387,55.43741220002994,1011,
45388,55.438556400011294,1011,
45389,55.43995770002948,1011,
45390,55.44157590001123,1012,
45391,55.442616900021676,1011,
45392,55.4437053000438,1010,
45393,55.445295300043654,1010,
45394,55.446343400049955,419,
45395,55.447199600050226,5,
45396,55.44806270004483,5,
45397,55.44966939999722,5,
45398,55.450493500044104,5,
45399,55.45136020000791,5,
45400,55.45392650004942,6,
45401,55.455800499999896,6,
45402,55.45726560003823,235,
45403,55.458295900025405,1010,
45404,55.45944679999957,1011,
45405,55.46057480003219,1011,
45406,55.46169320004992,1011,
45407,55.46274520002771,1011,
45408,55.46343560004607,1011,
45409,55.465687400021125,1010,
45410,55.46654990001116,507,
45411,55.467444900015835,6,
45412,55.46834280004259,5,
45413,55.47019449999789,5,
45414,55.471637700044084,5,
45415,55.473346600017976,6,
45416,55.474416200013366,5,
45417,55.47557360003702,6,
45418,55.4766823000391,325,
45419,55.47796530002961,1011,
45420,55.47883920004824,1011,
45421,55.479801600042265,1011,
45422,55.480774600000586,1011,
